Timestamp	Total RAM	Free RAM	Swap Available	Memory Available	Memory Available at Start	Memory Available at Block Start	Memory Used Since Start	Memory Used Since Block Start	Memory Resident Size	Memory Virtual Size	Message
02/02/2016 14:24:11	257854	136450	262039	205032	205032	205032	0	0	3	24	Running ProbesetSummarizeEngine...
02/02/2016 14:24:11	257854	136450	262039	205032	205032	205032	0	0	3	24	ProbesetSummarizeEngine: Initial Option 'help' = 'false'
02/02/2016 14:24:11	257854	136450	262039	205032	205032	205032	0	0	3	24	ProbesetSummarizeEngine: Initial Option 'verbose' = '1'
02/02/2016 14:24:11	257854	136450	262039	205032	205032	205032	0	0	3	24	ProbesetSummarizeEngine: Initial Option 'console-off' = 'false'
02/02/2016 14:24:11	257854	136450	262039	205032	205032	205032	0	0	3	24	ProbesetSummarizeEngine: Initial Option 'use-socket' = ''
02/02/2016 14:24:11	257854	136450	262039	205032	205032	205032	0	0	3	24	ProbesetSummarizeEngine: Initial Option 'version' = 'false'
02/02/2016 14:24:11	257854	136450	262039	205032	205032	205032	0	0	3	24	ProbesetSummarizeEngine: Initial Option 'force' = 'false'
02/02/2016 14:24:11	257854	136450	262039	205032	205032	205032	0	0	3	24	ProbesetSummarizeEngine: Initial Option 'throw-exception' = 'false'
02/02/2016 14:24:11	257854	136450	262039	205032	205032	205032	0	0	3	24	ProbesetSummarizeEngine: Initial Option 'analysis-files-path' = ''
02/02/2016 14:24:11	257854	136450	262039	205032	205032	205032	0	0	3	24	ProbesetSummarizeEngine: Initial Option 'xml-file' = ''
02/02/2016 14:24:11	257854	136450	262039	205032	205032	205032	0	0	3	24	ProbesetSummarizeEngine: Initial Option 'xml-file-append-only' = ''
02/02/2016 14:24:11	257854	136450	262039	205032	205032	205032	0	0	3	24	ProbesetSummarizeEngine: Initial Option 'temp-dir' = './output_affy//temp'
02/02/2016 14:24:11	257854	136450	262039	205032	205032	205032	0	0	3	24	ProbesetSummarizeEngine: Initial Option 'out-dir' = './output_affy/'
02/02/2016 14:24:11	257854	136450	262039	205032	205032	205032	0	0	3	24	ProbesetSummarizeEngine: Initial Option 'log-file' = ''
